id,year,stage,team,match_num,score,point,goal,win,point_last,goal_last,score_last,win_last,rank_last
14000,2012,Ｊ１,アルビレックス新潟,1,0,0,-3,1,0,0,0,0,0
13996,2012,Ｊ１,ガンバ大阪,1,2,0,-3,0,0,0,0,0,0
13998,2012,Ｊ１,コンサドーレ札幌,1,0,1,0,0,0,0,0,0,0
13999,2012,Ｊ１,サガン鳥栖,1,0,1,0,0,0,0,0,0,0
13997,2012,Ｊ１,サンフレッチェ広島,1,1,3,3,1,0,0,0,0,0
13998,2012,Ｊ１,ジュビロ磐田,1,0,1,0,0,0,0,0,0,0
13999,2012,Ｊ１,セレッソ大阪,1,0,1,0,0,0,0,0,0,0
13994,2012,Ｊ１,ベガルタ仙台,1,1,3,3,1,0,0,0,0,0
13996,2012,Ｊ１,ヴィッセル神戸,1,3,3,3,0,0,0,0,0,0
13995,2012,Ｊ１,名古屋グランパス,1,1,3,3,1,0,0,0,0,0
14001,2012,Ｊ１,大宮アルディージャ,1,0,0,-3,0,0,0,0,0,0
14000,2012,Ｊ１,川崎フロンターレ,1,1,3,3,1,0,0,0,0,0
14002,2012,Ｊ１,柏レイソル,1,3,1,0,0,0,0,0,0,0
14002,2012,Ｊ１,横浜Ｆ・マリノス,1,3,1,0,0,0,0,0,0,0
13997,2012,Ｊ１,浦和レッズ,1,0,0,-3,1,0,0,0,0,0
13995,2012,Ｊ１,清水エスパルス,1,0,0,-3,1,0,0,0,0,0
13994,2012,Ｊ１,鹿島アントラーズ,1,0,0,-3,1,0,0,0,0,0
14001,2012,Ｊ１,ＦＣ東京,1,1,3,3,0,0,0,0,0,0
14006,2012,Ｊ１,大宮アルディージャ,2,2,3,3,0,0,-3,0,0,1
14007,2012,Ｊ１,ガンバ大阪,2,1,0,-3,1,0,-3,2,0,2
14006,2012,Ｊ１,アルビレックス新潟,2,1,0,-3,0,0,-3,0,1,3
14004,2012,Ｊ１,浦和レッズ,2,1,3,3,1,0,-3,0,1,3
14008,2012,Ｊ１,清水エスパルス,2,2,3,3,1,0,-3,0,1,3
14003,2012,Ｊ１,鹿島アントラーズ,2,0,0,-3,0,0,-3,0,1,3
14010,2012,Ｊ１,コンサドーレ札幌,2,1,0,-3,1,1,0,0,0,7
14009,2012,Ｊ１,サガン鳥栖,2,1,0,-3,1,1,0,0,0,7
14009,2012,Ｊ１,ジュビロ磐田,2,2,3,3,1,1,0,0,0,7
14007,2012,Ｊ１,セレッソ大阪,2,2,3,3,1,1,0,0,0,7
14004,2012,Ｊ１,柏レイソル,2,0,0,-3,1,1,0,3,0,11
14005,2012,Ｊ１,横浜Ｆ・マリノス,2,0,0,-3,0,1,0,3,0,11
14011,2012,Ｊ１,ＦＣ東京,2,3,3,3,1,3,3,1,0,13
14010,2012,Ｊ１,ヴィッセル神戸,2,2,3,3,1,3,3,3,0,14
14008,2012,Ｊ１,サンフレッチェ広島,2,1,0,-3,1,3,3,1,1,15
14005,2012,Ｊ１,ベガルタ仙台,2,2,3,3,0,3,3,1,1,15
14011,2012,Ｊ１,名古屋グランパス,2,2,0,-3,1,3,3,1,1,15
14003,2012,Ｊ１,川崎フロンターレ,2,1,3,3,0,3,3,1,1,15
14013,2012,Ｊ１,鹿島アントラーズ,3,0,0,-3,1,0,-6,0,1,1
